gene,gene_length,chromosome_region_start,chromosome_region_end,0_hour_time_point_unique_gene_reads,0_hour_total_gene_reads,0_hour_rpkm,6_hour_time_point_unique_gene_reads,6_hour_total_gene_reads,6_hour_rpkm,fold_change_in_rpkm_0_to_6_hours,12_hour_time_point_unique_gene_reads,12_hour_total_gene_reads,12_hour_rpkm,fold_change_in_rpkm_0_to_12_hours,21_hour_time_point_unique_gene_reads,21_hour_total_gene_reads,21_hour_rpkm,fold_change_in_rpkm_0_to_21_hours,divergent_promoter_distance,divergent_class,divergent_promoter_flag,label,FC_0_to_3_protein,FC_0_to_12_protein,FC_0_to_24_protein,go_id,GO:0071941,GO:0003824,GO:0016491,GO:0065003,GO:0016829,GO:0016787,GO:0140096,GO:0003677,GO:0016740,GO:0005975,GO:0006091,GO:0055086,GO:1901135,GO:0140110,GO:0005215,GO:0098772,GO:0140299,GO:0006310,GO:0006281,GO:0140097,GO:0005886,GO:0055085,GO:0140657,GO:0015979,GO:0140098,GO:0003723,GO:0016209,GO:0005840,GO:0043226,GO:0005198,GO:0098754,GO:0006629,GO:0006355,GO:0060089,GO:0006457,GO:0051604,GO:0007155,GO:0006520,GO:0003924,GO:0006790,GO:0009975,GO:0006260,GO:0016853,GO:0006766,GO:0016874,GO:0030163,GO:0016071,GO:0006399,GO:0071554,GO:0006486,GO:0006575,GO:0000910,GO:0022414,GO:0005694,GO:0007059,GO:0005811,GO:0005615,GO:0005576,GO:0005829,GO:0003774,GO:0090729,GO:0005773,GO:0098542,GO:0006351,GO:0042254,GO:0009579,GO:0008289,GO:0023052,GO:0060090,GO:0045735,GO:0140104,GO:0006886
all1625,5464,1912906,1918370,28,28,0.299015265,31,31,0.359139945,1.201075619,33,33,0.340538296,1.138865925,23,23,0.235783209,-1.268178794,10000,not registered,0,Unknown,1,1,0.159240258,GO:0000155,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1626,2764,1918559,1921323,8,8,0.168887679,20,20,0.458041328,2.712106237,21,21,0.428394578,2.536565014,12,12,0.243186205,1.439928633,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1630,487,1925874,1926361,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1636,4246,1932369,1936615,95,95,1.305538354,86,86,1.282127365,-1.018259488,82,82,1.088921499,-1.198927889,72,72,0.949835144,-1.374489417,10000,not registered,0,Unknown,1,1.888929703,1.956797619,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1638,598,1937533,1938131,31,31,3.024868708,29,29,3.069796044,1.014852656,13,13,1.2257584,-2.467752788,18,18,1.686036799,-1.794070397,10000,not registered,0,Unknown,1,1,1,GO:0030366,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1639,1144,1938253,1939397,98,98,4.998573364,102,102,5.643998055,1.12912178,61,61,3.006536774,-1.66256851,37,37,1.811638025,-2.759145754,10000,not registered,0,Unknown,1,1,1,GO:0016772,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1640,559,1939686,1940245,38,38,3.966594525,50,50,5.662013553,1.427424335,37,37,3.732094448,-1.062833372,27,27,2.70550091,-1.466122045,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1641,1267,1941107,1942374,0,0,0,2,2,0.099923144,Inf,0,0,0,1,1,1,0.044209857,Inf,10000,not registered,0,Unknown,1,1,1,GO:0022857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1642,1792,1942313,1944105,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,10000,not registered,0,Unknown,1,1,1,GO:0018580,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1643,4906,1944058,1948964,6,6,0.071362446,3,3,0.038708507,-1.843585599,7,7,0.080451326,1.127362228,2,2,0.022834851,-3.125154885,10000,not registered,0,Unknown,1,1,1,GO:0006633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1644,1858,1948916,1950774,0,0,0,0,0,0,1,4,4,0.121388345,Inf,0,0,0,1,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1645,862,1950937,1951799,2,2,0.135384439,1,1,0.073435396,-1.843585599,2,2,0.130823402,-1.034864072,8,8,0.51985048,3.839809687,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1647,3064,1956110,1959174,48,48,0.914110075,23,23,0.47517303,-1.923741494,33,33,0.607278476,-1.505256833,46,46,0.84093959,-1.087010395,10000,not registered,0,Unknown,1,1,1,GO:0003824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1648,4864,1959319,1964183,8,8,0.095971535,8,8,0.104113999,1.084842495,9,9,0.104330587,1.087099292,13,13,0.149708174,1.559922685,10000,not registered,0,Unknown,1,1,1,GO:0016740,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1649,4813,1964097,1968910,7,7,0.084864918,7,7,0.09206507,1.084842495,21,21,0.24601758,2.898931444,35,35,0.40733142,4.799762109,10000,not registered,0,Unknown,1,1,1,GO:0016740,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1651,934,1969529,1970463,16,16,0.999583609,8,8,0.542195388,-1.843585599,4,4,0.24147703,-4.139456289,5,5,0.299860221,-3.333498544,10000,not registered,0,Unknown,1,1,1,GO:0003700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1660,403,1982832,1983235,43,43,6.22600448,31,31,4.869331655,-1.278615818,34,34,4.757037562,-1.30879868,47,47,6.532637202,1.049250322,87,within500,1,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1663,1591,1983933,1985524,37,37,1.356992864,44,46,1.830207624,1.348723101,595,598,21.19306226,15.6176667,295,298,10.49160213,7.731508695,10000,not registered,0,Unknown,1.845012474,2.143803155,3.343240925,GO:0071555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1670,448,1992716,1993164,658,658,85.70258057,322,322,45.49781766,-1.883663547,593,593,74.634459,-1.14829774,614,614,76.76903565,-1.116369117,10000,not registered,0,Unknown,1,1,1,GO:0003677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1672,550,1993587,1994137,0,0,0,1,1,0.115093294,Inf,2,2,0.205035951,Inf,2,2,0.20368687,Inf,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1678,1594,2000948,2002542,14,14,0.512490404,18,18,0.714820331,1.394797493,27,27,0.955076495,1.863598786,38,38,1.335337384,2.605585145,10000,not registered,0,Unknown,1,0.634645532,1,GO:0022857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1681,1102,2004494,2005596,36,38,2.012092867,35,40,2.297688258,1.141939468,42,42,2.148970262,1.068027374,28,28,1.423220415,-1.413760543,10000,not registered,0,Unknown,0.56849286,1,1,GO:0006207,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1682,1498,2005613,2007111,610,610,23.76096317,317,317,13.39553789,-1.773796869,615,615,23.14866831,-1.026450543,251,251,9.3855048,-2.531665976,10000,not registered,0,Unknown,1,1,1,GO:0015095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1683,1279,2007710,2008989,65,65,2.965437885,70,70,3.464497112,1.168291917,181,181,7.979409255,2.690803033,220,220,9.634914484,3.249069735,10000,not registered,0,Unknown,1,1,0.567356937,GO:0006564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1684,1294,2008955,2010249,132,132,5.952311821,106,106,5.185424282,-1.14789292,168,168,7.320448929,1.229849704,148,148,6.406534468,1.076310291,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1693,1024,2022848,2023872,11,11,0.626814087,15,15,0.927265305,1.479330674,58,58,3.193675206,5.09509163,37,37,2.023939356,3.228930873,10000,not registered,0,Unknown,0.586468991,1,1,GO:0005975,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1695,4450,2024987,2029437,53,53,0.694963312,108,108,1.536301493,2.210622442,76,76,0.962977835,1.385652766,93,93,1.170627347,1.684444816,10000,not registered,0,Unknown,1,1,1,GO:0016788,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1696,6100,2029591,2035691,17,17,0.162616686,18,18,0.186790755,1.148656759,42,42,0.388223808,2.387355307,30,30,0.275478144,1.694033686,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1697,1009,2036116,2037125,44,44,2.544529731,35,35,2.195783849,-1.158825233,19,19,1.061757028,-2.396527325,27,27,1.498885043,-1.697614999,10000,not registered,0,Unknown,1,1,1,GO:0008408,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1702,529,2041835,2042364,20,20,2.206075355,22,22,2.632568721,1.193326744,51,51,5.435972034,2.464091728,32,32,3.388363808,1.535923875,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1703,1774,2042267,2044041,29,29,0.953872661,31,31,1.106167225,1.159659218,115,115,3.655164563,3.831920875,80,82,2.589142567,2.714348227,1423,1000to1500,1,Unknown,1,2.059940555,1,GO:0003824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1704,820,2044110,2044930,266,266,18.92839558,221,221,17.06047542,-1.109488166,1139,1139,78.31998244,4.137697889,732,732,50.00264256,2.641673582,458,within500,1,Unknown,1,1,1,GO:0003677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1707,871,2047353,2048224,45,45,3.014674158,54,54,3.924535961,1.301810994,135,135,8.739333712,2.898931444,100,100,6.430986131,2.133227604,1014,1000to1500,1,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1708,703,2048400,2049103,54,54,4.482130057,39,39,3.511737055,-1.276328491,109,109,8.742464604,1.950515601,83,83,6.613304131,1.475482426,209,within500,1,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1710,2815,2051112,2053927,1,1,0.020728488,2,2,0.044974289,2.169684989,3,3,0.060090465,2.898931444,6,6,0.119390172,5.759714531,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1711,1300,2054032,2055332,1,1,0.044885149,4,4,0.194773266,4.339369979,54,54,2.342141435,52.180766,45,45,1.938942319,43.19785898,595,500to1000,1,Unknown,1,1,1,GO:0022857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1716,4102,2061372,2065474,68,68,0.967295742,60,60,0.925908993,-1.044698506,271,271,3.725086351,3.851031478,154,154,2.102910516,2.174009896,10000,not registered,0,Unknown,1,1,2.128968495,GO:0000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1717,2134,2066136,2068270,81,81,2.214810752,79,79,2.343394382,1.05805626,83,83,2.193039161,-1.009927589,91,91,2.388596025,1.078465066,10000,not registered,0,Unknown,1,1,1,GO:0003677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1719,418,2069593,2070011,34,34,4.746228629,28,28,4.240279241,-1.119319828,40,40,5.395682908,1.136835861,48,48,6.432216942,1.355226948,10000,not registered,0,Unknown,1,1,1,GO:0003677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1723,862,2072200,2073062,61,61,4.129225385,59,59,4.332688376,1.049273888,157,157,10.26963708,2.487061403,129,129,8.382588988,2.030063318,10000,not registered,0,Unknown,1,0.551503361,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1724,1504,2073263,2074767,37,37,1.435489127,10,10,0.42088638,-3.410633358,123,123,4.61126398,3.212329438,73,73,2.71875925,1.893960184,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1725,511,2074991,2075502,0,0,0,0,0,0,1,2,2,0.220684487,Inf,0,0,0,1,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1729,745,2079165,2079910,23,23,1.801430795,19,19,1.614395864,-1.115854441,85,85,6.433174957,3.571147431,82,82,6.165287134,3.422439069,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1730,1678,2080294,2081972,57,57,1.982115322,53,53,1.999385882,1.008713197,86,86,2.889809434,1.45794213,64,64,2.136405786,1.077841316,10000,not registered,0,Unknown,1,1.566328878,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1732,457,2085134,2085591,90,90,11.49138377,56,56,7.756834672,-1.481452713,195,195,24.0591966,2.09367271,200,200,24.51373707,2.133227604,10000,not registered,0,Unknown,1,1,1,GO:0016655,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1736,796,2087344,2088140,28,28,2.052536945,23,23,1.829057996,-1.122182538,32,32,2.266729101,1.104354836,33,33,2.322183849,1.131372497,10000,not registered,0,Unknown,1,1,1,GO:0006355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1737,1069,2088105,2089174,7,7,0.382090601,12,12,0.710585349,1.859729991,28,28,1.476872609,3.865241926,23,23,1.205163191,3.154129386,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1738,1438,2089261,2090699,364,364,14.77027281,270,270,11.88550355,-1.242713255,1421,1421,55.71830568,3.772327456,962,962,37.47243492,2.537017115,10000,not registered,0,Unknown,6.226372929,8.91522706,7.814494188,GO:0008236,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1745,760,2099927,2100687,29,29,2.226539607,15,15,1.249367991,-1.782132745,192,192,14.24460288,6.397641808,73,73,5.380281463,2.416431958,66,within500,1,Unknown,3.7621386,5.649925495,1,GO:0016740,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1747,451,2101450,2101901,173,173,22.38286012,104,104,14.59719822,-1.533366868,576,576,72.01262652,3.217311198,285,285,35.3968036,1.58142451,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1750,1162,2103838,2105000,181,181,9.089049449,135,135,7.35428318,-1.235885161,145,145,7.035979799,-1.291795842,142,142,6.845070798,-1.327824024,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1754,691,2108625,2109316,10,10,0.844438396,11,11,1.007690921,1.193326744,1,1,0.081598967,-10.34864072,14,14,1.134868956,1.343933391,10000,not registered,0,Unknown,1,1.534784521,1,GO:0015937,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1755,499,2109293,2109792,0,0,0,1,1,0.126856336,Inf,0,0,0,1,8,8,0.898018264,Inf,10000,not registered,0,Unknown,1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all1757,1003,2110787,2111790,5,5,0.290880823,0,0,0,#NAME?,8,8,0.449729901,1.54609677,14,14,0.781848902,2.687866781,10000,not registered,0,Unknown,1,1,1,GO:0005886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
