gene,gene_length,chromosome_region_start,chromosome_region_end,0_hour_time_point_unique_gene_reads,0_hour_total_gene_reads,0_hour_rpkm,6_hour_time_point_unique_gene_reads,6_hour_total_gene_reads,6_hour_rpkm,fold_change_in_rpkm_0_to_6_hours,12_hour_time_point_unique_gene_reads,12_hour_total_gene_reads,12_hour_rpkm,fold_change_in_rpkm_0_to_12_hours,21_hour_time_point_unique_gene_reads,21_hour_total_gene_reads,21_hour_rpkm,fold_change_in_rpkm_0_to_21_hours,divergent_promoter_distance,divergent_class,divergent_promoter_flag,label,FC_0_to_3_protein,FC_0_to_12_protein,FC_0_to_24_protein,go_id,GO:0071941,GO:0003824,GO:0016491,GO:0065003,GO:0016829,GO:0016787,GO:0140096,GO:0003677,GO:0016740,GO:0005975,GO:0006091,GO:0055086,GO:1901135,GO:0140110,GO:0005215,GO:0098772,GO:0140299,GO:0006310,GO:0006281,GO:0140097,GO:0005886,GO:0055085,GO:0140657,GO:0015979,GO:0140098,GO:0003723,GO:0016209,GO:0005840,GO:0043226,GO:0005198,GO:0098754,GO:0006629,GO:0006355,GO:0060089,GO:0006457,GO:0051604,GO:0007155,GO:0006520,GO:0003924,GO:0006790,GO:0009975,GO:0006260,GO:0016853,GO:0006766,GO:0016874,GO:0030163,GO:0016071,GO:0006399,GO:0071554,GO:0006486,GO:0006575,GO:0000910,GO:0022414,GO:0005694,GO:0007059,GO:0005811,GO:0005615,GO:0005576,GO:0005829,GO:0003774,GO:0090729,GO:0005773,GO:0098542,GO:0006351,GO:0042254,GO:0009579,GO:0008289,GO:0023052,GO:0060090,GO:0045735,GO:0140104,GO:0006886,old_locus_tag,locus_tag,protein_id,gene_symbol,product,diazo_mean_pident,diazo_hit_count,nondiazo_mean_pident,nondiazo_hit_count,diazo_minus_nondiazo_mean_pident,has_diazo_hit,has_nondiazo_hit,diazo_hit_frac,nondiazo_hit_frac
all0910,1132,1052680,1053812,0,0,0,1,1,0.055919887,Inf,1,2,0.099619941,Inf,3,3,0.148446703,Inf,10000,not registered,0,Unknown,1,1,1,GO:0005315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0910,PCC7120DELTA_RS06410,WP_190449631.1,pstC,phosphate ABC transporter permease subunit PstC,73.40175,4,55.663,1,17.73875,1,1,0.5,0.5
all0911,1144,1053741,1054885,5,5,0.255029253,5,5,0.276666571,1.084842495,4,4,0.197149952,-1.29358009,2,2,0.09792638,-2.604295737,10000,not registered,0,Unknown,1,1,1,GO:0035435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0911,PCC7120DELTA_RS06415,WP_010995085.1,pstS,phosphate ABC transporter substrate-binding protein PstS,68.44175,4,48.817,1,19.62475,1,1,0.5,0.5
all0914,1114,1057870,1058984,33,33,1.728521431,48,48,2.727525092,1.577952719,261,261,13.21046261,7.642637444,97,97,4.877331466,2.821678331,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0914,PCC7120DELTA_RS06430,WP_044520769.1,PCC7120DELTA_RS06430,glycosyltransferase family 2 protein,33.74833333,3,,0,,1,0,0.375,0
all0915,1006,1058946,1059952,22,22,1.276058896,20,20,1.258475378,-1.013972079,108,108,6.053248241,4.743706,51,51,2.839670327,2.225344251,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0915,PCC7120DELTA_RS06435,WP_010995089.1,PCC7120DELTA_RS06435,glycosyltransferase family 2 protein,56.61,2,,0,,1,0,0.25,0
all0916,1381,1059867,1061248,14,14,0.591534905,20,20,0.916746003,1.549774992,365,365,14.90259488,25.1930947,137,139,5.637893265,9.530956188,10000,not registered,0,Unknown,1,1,1,GO:0016887,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0916,PCC7120DELTA_RS06440,WP_044522761.1,PCC7120DELTA_RS06440,ABC transporter ATP-binding protein,56.4675,4,55.319,1,1.1485,1,1,0.5,0.5
all0917,946,1061147,1062093,1,1,0.061681494,2,2,0.133829411,2.169684989,43,43,2.562949381,41.5513507,14,14,0.828958191,13.43933391,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0917,PCC7120DELTA_RS06445,WP_010995091.1,PCC7120DELTA_RS06445,ABC transporter permease,64.9325,4,66.308,1,-1.3755,1,1,0.5,0.5
all0918,823,1062148,1062971,13,13,0.921699892,11,11,0.846068562,-1.08939149,1156,1156,79.19918429,85.92730127,257,257,17.49157901,18.97752095,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,,0,0,0,0
all0919,1390,1063223,1064613,3,3,0.125936748,5,5,0.227702559,1.808070824,289,289,11.72318861,93.08790971,111,111,4.473051584,35.51823961,199,within500,1,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0919,PCC7120DELTA_RS06455,WP_010995093.1,PCC7120DELTA_RS06455,colanic acid biosynthesis glycosyltransferase WcaL,,0,,0,,0,0,0,0
all0921,451,1066559,1067010,55,55,7.115938189,52,52,7.298599111,1.025669268,45,45,5.625986447,-1.264833866,77,77,9.563346937,1.343933391,10000,not registered,0,Unknown,1,1,1,GO:0008942,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0921,PCC7120DELTA_RS06465,WP_010995095.1,PCC7120DELTA_RS06465,Rieske (2Fe-2S) protein,65.39428571,7,,0,,1,0,0.875,0
all0924,538,1069137,1069675,6,6,0.650751225,4,4,0.470641721,-1.382689199,27,27,2.829724782,4.348397167,16,16,1.665840571,2.559873125,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,,0,0,0,0
all0929,466,1080043,1080509,42,44,5.509507508,42,48,6.520306766,1.18346454,47,50,6.049880514,1.098080093,72,77,9.255513881,1.679916738,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0929,PCC7120DELTA_RS06505,WP_010995103.1,PCC7120DELTA_RS06505,response regulator transcription factor,82.3045,8,76.4465,2,5.858,1,1,1,1
all0930,1339,1080681,1082020,32,32,1.394490053,21,21,0.992776357,-1.404636647,67,67,2.821349805,2.023212571,69,69,2.886451348,2.06989741,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0930,PCC7120DELTA_RS06510,WP_010995104.1,PCC7120DELTA_RS06510,response regulator,56.05183333,6,42.8015,2,13.25033333,1,1,0.75,1
all0932,1129,1084311,1085440,6,6,0.310101115,4,4,0.224273912,-1.382689199,23,23,1.148673505,3.704190179,18,18,0.893046949,2.879857265,23,within500,1,Unknown,1,1,1,GO:0016879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0932,PCC7120DELTA_RS06520,WP_010995106.1,tilS,tRNA lysidine(34) synthetase TilS,65.385875,8,55.4735,2,9.912375,1,1,1,1
all0934,1534,1086195,1087729,49,49,1.863874814,56,56,2.31086926,1.239819994,202,202,7.4248677,3.983565658,166,166,6.061476928,3.252083715,10000,not registered,0,Unknown,1,1,1,GO:0008168,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0934,PCC7120DELTA_RS06530,WP_010995108.1,PCC7120DELTA_RS06530,DNA cytosine methyltransferase,48.19433333,3,,0,,1,0,0.375,0
all0935,412,1087753,1088165,29,29,4.107208984,25,25,3.841099,-1.069279647,114,114,15.60164332,3.798599824,71,71,9.652878965,2.350228343,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0935,PCC7120DELTA_RS06535,WP_010995109.1,PCC7120DELTA_RS06535,KGK domain-containing protein,89.623,2,,0,,1,0,0.25,0
all0936,1156,1088238,1089394,63,63,3.180011824,49,49,2.68318708,-1.185162171,68,68,3.316758023,1.04300179,71,71,3.440299423,1.081851142,10000,not registered,0,Unknown,2.083554095,1,2.39399901,GO:0017004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0936,PCC7120DELTA_RS06540,WP_010995110.1,ccsB,c-type cytochrome biogenesis protein CcsB,79.2365,8,71.3675,2,7.869,1,1,1,1
all0937,1846,1089457,1091303,23,23,0.72701297,24,24,0.822985632,1.13200956,104,104,3.176613318,4.369403916,88,88,2.670217904,3.67286144,10000,not registered,0,Unknown,1,1.893374691,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0937,PCC7120DELTA_RS06545,WP_044520779.1,PCC7120DELTA_RS06545,DUF3352 domain-containing protein,78.17633333,3,40.845,1,37.33133333,1,1,0.375,0.5
all0938,514,1091454,1091968,5,5,0.567613747,0,0,0,#NAME?,9,9,0.987284003,1.739358867,4,4,0.435905753,-1.302147869,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,,0,0,0,0
all0945,1102,1097271,1098373,72,72,3.812386485,92,92,5.284682994,1.386187632,61,61,3.121123475,-1.221478905,71,71,3.608880339,-1.056390384,10000,not registered,0,Unknown,1,1,1,GO:0008177,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0945,PCC7120DELTA_RS06590,WP_010995119.1,PCC7120DELTA_RS06590,succinate dehydrogenase/fumarate reductase iron-sulfur subunit,78.778125,8,68.549,2,10.229125,1,1,1,1
all0954,1012,1108681,1109693,19,19,1.095516966,9,9,0.562956328,-1.946007021,24,24,1.337190982,1.220602713,13,13,0.719546008,-1.522511354,10000,not registered,0,Unknown,1,1,1,GO:0005242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0954,PCC7120DELTA_RS06635,WP_010995128.1,PCC7120DELTA_RS06635,ion channel,64.24233333,6,54.615,1,9.627333333,1,1,0.75,0.5
all0955,841,1109945,1110786,1,1,0.069382513,5,5,0.376345491,5.424212473,31,31,2.078396526,29.95562493,12,12,0.799246933,11.51942906,948,500to1000,1,Unknown,1,1,1,GO:0016787,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0955,PCC7120DELTA_RS06640,WP_010995129.1,PCC7120DELTA_RS06640,dienelactone hydrolase family protein,72.115,6,,0,,1,0,0.75,0
all0956,433,1110655,1111088,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,,0,0,0,0
all0958,1528,1112392,1113920,4,4,0.152750506,5,5,0.207137799,1.356053118,5,5,0.184505518,1.207888102,6,6,0.219949827,1.439928633,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,,0,0,0,0
all0959,1510,1113863,1115373,17,17,0.656928333,14,14,0.586899577,-1.119319828,8,8,0.298727875,-2.199086154,22,22,0.816096399,1.242291369,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,,0,,0,0,0,0
all0961,724,1117294,1118018,6,6,0.48356928,4,4,0.349731003,-1.382689199,11,11,0.856676451,1.771569216,5,5,0.386836251,-1.250061954,10000,not registered,0,Unknown,1,1,1,GO:0061603,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0961,PCC7120DELTA_RS06665,WP_010995135.1,PCC7120DELTA_RS06665,molybdenum cofactor guanylyltransferase,63.57685714,7,48.705,1,14.87185714,1,1,0.875,0.5
all0962,418,1118092,1118510,0,0,0,0,1,0.151438544,Inf,0,0,0,1,0,0,0,1,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0962,PCC7120DELTA_RS06670,WP_126987417.1,PCC7120DELTA_RS06670,hypothetical protein,,0,,0,,0,0,0,0
all0966,2170,1123881,1126051,63,63,1.694052382,46,46,1.34187112,-1.262455356,106,106,2.754284773,1.625855731,63,63,1.626209687,-1.041718295,10000,not registered,0,Unknown,1,1,4.283820815,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0966,PCC7120DELTA_RS06690,WP_010995140.1,PCC7120DELTA_RS06690,SPFH domain-containing protein,88.867,2,,0,,1,0,0.25,0
all0967,1588,1126139,1127727,38,38,1.396301221,59,59,2.351874924,1.684360715,22,22,0.781150819,-1.787492489,83,83,2.927678088,2.096738184,10000,not registered,0,Unknown,1,0.654816938,1,GO:0005975,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0967,PCC7120DELTA_RS06695,WP_010995141.1,PCC7120DELTA_RS06695,hypothetical protein,73.070625,8,67.464,2,5.606625,1,1,1,1
all0976,850,1137869,1138719,1,1,0.068647874,3,3,0.223416394,3.254527484,12,12,0.796021926,11.59572578,17,17,1.120277784,16.31919117,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0976,PCC7120DELTA_RS06740,WP_084789130.1,PCC7120DELTA_RS06740,SGNH/GDSL hydrolase family protein,79.70933333,3,56.279,1,23.43033333,1,1,0.375,0.5
all0978,3661,1139018,1142679,37,37,0.58972293,20,20,0.345814321,-1.705316679,65,65,1.001097409,1.697572467,53,53,0.81090853,1.375066983,10000,not registered,0,Unknown,1,1,1,GO:0000155,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0978,PCC7120DELTA_RS06750,WP_010995152.1,PCC7120DELTA_RS06750,PAS domain-containing protein,64.2915,2,,0,,1,0,0.25,0
all0979,763,1144092,1144855,135,135,10.32417244,103,103,8.545262237,-1.208175028,306,306,22.6130737,2.190303758,186,186,13.65476198,1.322601114,1304,1000to1500,1,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0979,PCC7120DELTA_RS06755,WP_044520791.1,PCC7120DELTA_RS06755,hypothetical protein,70.975,2,,0,,1,0,0.25,0
all0980,1195,1144904,1146099,75,75,3.662177394,31,31,1.642126073,-2.230143869,232,232,10.94668924,2.989120423,212,212,9.93719206,2.713465512,10000,not registered,0,Unknown,1,1,1,GO:0071555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0980,PCC7120DELTA_RS06760,WP_044520792.1,PCC7120DELTA_RS06760,D-alanine--D-alanine ligase family protein,77.35925,8,66.7185,2,10.64075,1,1,1,1
all0982,1474,1147364,1148838,494,494,19.5557954,444,444,19.06769492,-1.025598295,816,816,31.21442829,1.596172779,896,896,34.04914839,1.741128279,10000,not registered,0,Unknown,0.440553692,0.260030211,0.273326796,GO:0016830,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0982,PCC7120DELTA_RS06770,WP_010995156.1,thiC,phosphomethylpyrimidine synthase,93.774,8,91.372,1,2.402,1,1,1,0.5
all0983,1183,1148973,1150156,76,76,3.748649771,56,56,2.996511788,-1.251004513,82,82,3.90833532,1.042598151,54,54,2.556847014,-1.466122045,10000,not registered,0,Unknown,1.600455618,1,3.122668891,GO:0005576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0983,PCC7120DELTA_RS06775,WP_010995157.1,PCC7120DELTA_RS06775,M4 family metallopeptidase,68.67075,4,,0,,1,0,0.5,0
all0985,1309,1151300,1152609,367,367,16.35959082,254,254,12.2830658,-1.331881722,443,443,19.08212733,1.166418374,343,343,14.67743621,-1.114608205,156,within500,1,Unknown,1,1,1,GO:0051745,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0985,PCC7120DELTA_RS06785,WP_010995159.1,PCC7120DELTA_RS06785,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,80.510625,8,74.538,2,5.972625,1,1,1,1
all0988,1300,1154075,1155375,19,19,0.852817823,13,13,0.633013115,-1.34723563,37,37,1.604800613,1.881762517,38,38,1.637329069,1.919904844,10000,not registered,0,Unknown,1,1,1,GO:0005975,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0988,PCC7120DELTA_RS06800,WP_010995162.1,nagA,N-acetylglucosamine-6-phosphate deacetylase,69.7845,8,61.413,1,8.3715,1,1,1,0.5
all0993,3310,1161999,1165309,31,31,0.546486854,55,55,1.051834481,1.924720555,102,102,1.737540306,3.179473197,111,111,1.87841139,3.437248994,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0993,PCC7120DELTA_RS06825,WP_010995167.1,PCC7120DELTA_RS06825,HEAT repeat domain-containing protein,78.7515,2,,0,,1,0,0.25,0
all0995,577,1165952,1166529,3,3,0.303383153,3,3,0.329122937,1.084842495,10,10,0.977207736,3.221034938,10,10,0.970777976,3.199841406,10000,not registered,0,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0995,PCC7120DELTA_RS06835,WP_010995169.1,PCC7120DELTA_RS06835,hypothetical protein,88.6075,2,,0,,1,0,0.25,0
all0997,511,1168548,1169059,19,19,2.169595244,22,22,2.725301083,1.256133415,4,4,0.441368974,-4.915604344,11,11,1.205778437,-1.7993316,1391,1000to1500,1,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all0997,PCC7120DELTA_RS06845,WP_044520795.1,PCC7120DELTA_RS06845,hypothetical protein,72.54366667,3,,0,,1,0,0.375,0
all1003,499,1174705,1175204,3,3,0.35080577,6,6,0.761138014,2.169684989,9,9,1.016961879,2.898931444,3,3,0.336756849,-1.041718295,5,within500,1,Unknown,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1003,PCC7120DELTA_RS06875,WP_010995177.1,PCC7120DELTA_RS06875,DUF1499 domain-containing protein,66.3815,4,62.903,1,3.4785,1,1,0.5,0.5
all1006,820,1176844,1177664,49,49,3.486809713,29,29,2.23870492,-1.557511971,30,30,2.062861697,-1.690277985,232,232,15.84783207,4.545080854,10000,not registered,0,Unknown,1,0.62582947,1.660865419,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all1006,PCC7120DELTA_RS06890,WP_010995180.1,PCC7120DELTA_RS06890,GDYXXLXY domain-containing protein,75.73166667,3,45.5,1,30.23166667,1,1,0.375,0.5
